title,category
American Oystercatcher,Species
American Oystercatcher,Bird
American Oystercatcher,Charadriiformes
American Oystercatcher,Haematopodidae
American Oystercatcher,NC SGCN
American Oystercatcher,NC Management Concern
Piping Plover,Species
Piping Plover,Bird
Piping Plover,Charadriiformes
Piping Plover,Charadriidae
Piping Plover,NC SGCN
Piping Plover,NC Management Concern
American Goldfinch,Species
American Goldfinch,Bird
American Goldfinch,Passeriformes
American Goldfinch,Fringillidae
Velvet Scoter,Species
Velvet Scoter,Bird
Velvet Scoter,Anseriformes
Velvet Scoter,Anatidae
Velvet Scoter,NC SGCN
Velvet Scoter,NC Management Concern
Acadian Flycatcher,Species
Acadian Flycatcher,Bird
Acadian Flycatcher,Passeriformes
Acadian Flycatcher,Tyrannidae
Acadian Flycatcher,NC SGCN
Alder Flycatcher,Species
Alder Flycatcher,Bird
Alder Flycatcher,Passeriformes
Alder Flycatcher,Tyrannidae
Alder Flycatcher,NC SGCN
American Avocet,Species
American Avocet,Bird
American Avocet,Charadriiformes
American Avocet,Recurvirostridae
American Avocet,NC SGCN
American Bittern,Species
American Bittern,Bird
American Bittern,Pelecaniformes
American Bittern,Ardeidae
American Bittern,NC SGCN
American Bittern,NC Knowledge Concern
American Black Duck,Species
American Black Duck,Bird
American Black Duck,Anseriformes
American Black Duck,Anatidae
American Black Duck,NC SGCN
American Black Duck,NC Management Concern
American Coot,Species
American Coot,Bird
American Coot,Gruiformes
American Coot,Rallidae
American Coot,NC Management Concern
American Crow,Species
American Crow,Bird
American Crow,Passeriformes
American Crow,Corvidae
American Kestrel,Species
American Kestrel,Bird
American Kestrel,Falconiformes
American Kestrel,Falconidae
American Kestrel,NC SGCN
American Pipit,Species
American Pipit,Bird
American Pipit,Passeriformes
American Pipit,Motacillidae
American Pipit,NC Knowledge Concern
American Redstart,Species
American Redstart,Bird
American Redstart,Passeriformes
American Redstart,Parulidae
American Robin,Species
American Robin,Bird
American Robin,Passeriformes
American Robin,Turdidae
American Wigeon,Species
American Wigeon,Bird
American Wigeon,Anseriformes
American Wigeon,Anatidae
American Wigeon,NC Management Concern
