title,property,value
American Oystercatcher,Has AOS4 Code,AMOY
American Oystercatcher,Has AOS59 Code,446
American Oystercatcher,Has AOS6 Code,HAEPAL
American Oystercatcher,Has AOS60 Code,388
American Oystercatcher,Has Audubon Conservation Plan,true
American Oystercatcher,Has Avibase Code,981CE782575DD8E7
American Oystercatcher,Has Common Name,American Oystercatcher
American Oystercatcher,Has eBird Code,ameoys
American Oystercatcher,Has Family,Haematopodidae
American Oystercatcher,Has Genus,Haematopus
American Oystercatcher,Has Habitat,Estuarine Wetland Communities
American Oystercatcher,Has Habitat,Maritime Grasslands
American Oystercatcher,Has Habitat,"Sand, Shell, and Wrack Active Shoreline"
American Oystercatcher,Has Order,Charadriiformes
American Oystercatcher,Has PIF Half Life,0
American Oystercatcher,Has PIF Pop Est,11000
American Oystercatcher,Has Plan,Atlantic Flyway Shorebird Business Strategy 2013
American Oystercatcher,Has Plan,Conservation Plan For The American Oystercatcher 2007
American Oystercatcher,Has Plan,South Atlantic Migratory Bird Initiative Implmentation Plan 2008
American Oystercatcher,Has Scientific Name,Haematopus palliatus
American Oystercatcher,Has Species Taxonomy,palliatus
American Oystercatcher,Has State Status,special concern
American Oystercatcher,Has WAP15 ID,ncwap15-spp-american-oystercatcher
American Oystercatcher,Is Audubon Priority,true
American Oystercatcher,Is NC Present,NC
American Oystercatcher,Is SGCN,true
American Oystercatcher,Is WAP Management Concern,true
American Oystercatcher,Present Breeding,true
American Oystercatcher,Present Wintering,true
American Oystercatcher,Was WAP Evaluated,true
American Oystercatcher,Has Organization,American Oystercatcher Working Group
American Oystercatcher,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
American Oystercatcher,Has Priority,NCWAP 2015 Conservation Programs And Partnerships Priority 380
American Oystercatcher,Has Priority,NCWAP 2015 Surveys Priority 361
Piping Plover,Has AOS4 Code,PIPL
Piping Plover,Has AOS59 Code,461
Piping Plover,Has AOS6 Code,CHAMEL
Piping Plover,Has AOS60 Code,382
Piping Plover,Has Audubon Conservation Plan,true
Piping Plover,Has Avibase Code,671B69FE824DC9FF
Piping Plover,Has Common Name,Piping Plover
Piping Plover,Has eBird Code,pipplo
Piping Plover,Has Family,Charadriidae
Piping Plover,Has Federal Status,threatened
Piping Plover,Has Genus,Charadrius
Piping Plover,Has Habitat,Estuarine Wetland Communities
Piping Plover,Has Habitat,Maritime Grasslands
Piping Plover,Has Habitat,"Sand, Shell, and Wrack Active Shoreline"
Piping Plover,Has Order,Charadriiformes
Piping Plover,Has PIF Half Life,0
Piping Plover,Has Plan,Atlantic Flyway Shorebird Business Strategy 2013
Piping Plover,Has Plan,Conservation Plan For The American Black Duck 2011
Piping Plover,Has Plan,Conservation Plan For The American Oystercatcher 2007
Piping Plover,Has Plan,Piping Plover 5 Year Review 2020
Piping Plover,Has Plan,Red Knot Conservation Plan For The Western Hemisphere 2010
Piping Plover,Has Plan,South Atlantic Migratory Bird Initiative Implmentation Plan 2008
Piping Plover,Has Plan,Status Review And Conservation Recommendations For The Gull-Billed Tern In North America 2010
Piping Plover,Has Scientific Name,Charadrius melodus
Piping Plover,Has Species Taxonomy,melodus
Piping Plover,Has State Status,threatened
Piping Plover,Has WAP15 ID,ncwap15-spp-piping-plover
Piping Plover,Is Audubon Priority,true
Piping Plover,Is NC Present,NC
Piping Plover,Is SGCN,true
Piping Plover,Is WAP Management Concern,true
Piping Plover,Present Breeding,true
Piping Plover,Present Wintering,true
Piping Plover,Was WAP Evaluated,true
Piping Plover,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
Piping Plover,Has Priority,NCWAP 2015 Conservation Programs And Partnerships Priority 380
Piping Plover,Has Priority,NCWAP 2015 Monitoring Priority 370
Piping Plover,Has Priority,NCWAP 2015 Surveys Priority 361
American Goldfinch,Has AOS4 Code,AMGO
American Goldfinch,Has AOS59 Code,1771
American Goldfinch,Has AOS6 Code,SPITRI
American Goldfinch,Has AOS60 Code,1868
American Goldfinch,Has Avibase Code,C9ABA616B963B563
American Goldfinch,Has Common Name,American Goldfinch
American Goldfinch,Has eBird Code,amegfi
American Goldfinch,Has Family,Fringillidae
American Goldfinch,Has Genus,Spinus
American Goldfinch,Has Order,Passeriformes
American Goldfinch,Has PIF Half Life,123
American Goldfinch,Has Plan,Partners In Flight Landbird Conservation Plan 2016
American Goldfinch,Has Scientific Name,Spinus tristis
American Goldfinch,Has Species Taxonomy,tristis
American Goldfinch,Has WAP15 ID,ncwap15-spp-american-goldfinch
American Goldfinch,Is NC Present,NC
American Goldfinch,Present Breeding,true
American Goldfinch,Present Wintering,true
American Goldfinch,Was WAP Evaluated,true
Velvet Scoter,Has AOS4 Code,VESC
Velvet Scoter,Has AOS59 Code,68
Velvet Scoter,Has AOS6 Code,MENFUS
Velvet Scoter,Has AOS60 Code,64
Velvet Scoter,Has Avibase Code,8C602FD9D2A0A234
Velvet Scoter,Has Common Name,Velvet Scoter
Velvet Scoter,Has eBird Code,whwsco3
Velvet Scoter,Has Family,Anatidae
Velvet Scoter,Has Genus,Melanitta
Velvet Scoter,Has Habitat,Estuarine Wetland Communities
Velvet Scoter,Has Habitat,Maritime Forests
Velvet Scoter,Has Order,Anseriformes
Velvet Scoter,Has PIF Half Life,0
Velvet Scoter,Has PIF Pop Est,400000
Velvet Scoter,Has Scientific Name,Melanitta fusca
Velvet Scoter,Has Species Taxonomy,fusca
